Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CMR,Cameroon,32416,Press Freedom Index,Total,28.8,30.5,27,20.5,28.25,36,36.9,30.5,44.3,34.78,38.13,39.63,40.53,,41.59,40.92,43.32,43.28,43.78
CMR,Cameroon,32417,Press Freedom Rank,Total,44,50,45,33,49,70,61,63,89,104,120,126,120,124,130,129,131,134,135
COD,"Congo, Dem. Rep.",32416,Press Freedom Index,Total,,,,,,,51.25,53.5,51.83,,44.64,44.31,50.97,,52.67,51.6,51.71,49.09,48.59
COD,"Congo, Dem. Rep.",32417,Press Freedom Rank,Total,,,,,,,85,101,106,,140,143,146,,154,154,154,150,149
COG,"Congo, Rep.",32416,Press Freedom Index,Total,23.2,14,17.5,17,17,24.5,20.75,34.25,33.6,,29.44,,35.84,,36.73,35.42,36.04,36.56,38.83
COG,"Congo, Rep.",32417,Press Freedom Rank,Total,29,12,24,24,20,47,28,70,72,,71,,109,109,115,114,117,118,118
COL,Colombia,32416,Press Freedom Index,Total,40.8,49.17,47.38,40.17,44.75,42.33,35.5,40.13,51.5,37.48,36.68,39.08,44.11,,41.47,41.03,42.82,42.66,43.74
COL,Colombia,32417,Press Freedom Rank,Total,68,89,83,68,68,89,59,80,104,113,115,122,128,123,129,130,129,130,134
COM,Comoros,32416,Press Freedom Index,Total,20.5,18.5,26.5,22,22.5,28,20,19,19,24.52,24.52,24.52,24.33,,24.33,25.3,27.91,29.77,30.65
COM,Comoros,32417,Press Freedom Rank,Total,22,25,44,37,38,58,26,36,37,37,42,45,46,41,44,49,56,75,84
CPV,Cabo Verde,32416,Press Freedom Index,Total,13.8,8.25,8.75,6,11.5,14,8,11,8,14.33,14.32,20.69,19.82,,18.02,20.39,19.81,20.15,20.09
CPV,Cabo Verde,32417,Press Freedom Rank,Total,11,112,116,91,7,18,108,10,131,11,13,31,28,24,27,29,25,25,27
CRI,Costa Rica,32416,Press Freedom Index,Total,4.3,3.83,7.63,8.5,6.67,6.5,5.1,8,8.08,12.08,12.23,12.26,11.1,,11.93,14.01,12.24,10.53,8.76
CRI,Costa Rica,32417,Press Freedom Rank,Total,65,49,112,107,88,114,80,122,132,4,10,11,2,3,6,10,10,7,5
CUB,Cuba,32416,Press Freedom Index,Total,90.3,97.83,106.83,87,95,96.17,88.33,94,78,71.64,70.92,70.21,70.23,,71.75,68.9,63.81,63.81,63.94
CUB,Cuba,32417,Press Freedom Rank,Total,99,125,7,112,109,139,117,131,129,162,166,164,164,166,173,172,169,171,171
CYP,Cyprus,32416,Press Freedom Index,Total,,20.83,22,5.5,7.5,14,7.5,5.5,13.4,13.83,14.45,16.52,18.26,,19.79,19.85,21.74,20.45,19.85
CYP,Cyprus,32417,Press Freedom Rank,Total,,32,37,78,94,18,104,97,16,10,14,19,23,27,30,25,28,27,26
CZE,Czech Republic,32416,Press Freedom Index,Total,11.3,2.5,3.5,1,0.75,4,4,5,7.5,10.17,10.07,11.62,16.66,,16.91,21.89,24.89,23.57,23.38
CZE,Czech Republic,32417,Press Freedom Rank,Total,7,29,55,3,2,80,65,96,124,2,2,8,17,20,23,34,40,40,40
DEU,Germany,32416,Press Freedom Index,Total,1.5,1.33,2,4,5.5,5.75,4.5,3.5,4.25,10.24,10.23,11.47,14.8,,14.97,14.39,14.6,12.16,15.24
DEU,Germany,32417,Press Freedom Rank,Total,4,4,30,64,76,96,66,61,83,3,3,7,12,13,16,15,13,11,13
DJI,Djibouti,32416,Press Freedom Index,Total,31.3,35.5,55,37,33,50.25,41.5,31,30.5,67.4,70.34,71.04,70.9,,70.54,70.77,71.36,76.73,78.62
DJI,Djibouti,32417,Press Freedom Rank,Total,53,66,95,59,57,97,69,64,68,156,165,165,165,165,172,173,173,176,176
DNK,Denmark,32416,Press Freedom Index,Total,3,1,0.5,0.5,5,2,3.5,0,2.5,7.08,7.43,8.24,8.89,,10.36,13.99,9.87,8.13,8.57
DNK,Denmark,32417,Press Freedom Rank,Total,46,2,1,1,75,31,51,2,41,159,164,173,172,1,4,9,5,3,4
DOM,Dominican Republic,32416,Press Freedom Index,Total,,17,6.75,12.25,12.75,22.75,18,26.83,26.13,28.34,27.17,27.31,27.9,,26.76,26.79,27.9,27.9,25.6
DOM,Dominican Republic,32417,Press Freedom Rank,Total,,19,100,10,11,40,20,52,59,65,57,58,58,55,59,59,55,55,50
DZA,Algeria,32416,Press Freedom Index,Total,31,33,43.5,40.33,40,40.5,31.33,49.56,47.33,36.54,36.26,36.63,41.69,,42.83,43.13,45.75,45.52,47.26
