Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
KHM,Cambodia,28156,Is this country on the FCV list?,Value,1,1,1,1,0,0,0,0,0,0,0,0,,,,,
KIR,Kiribati,28156,Is this country on the FCV list?,Value,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KNA,St. Kitts and Nevis,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
KOR,"Korea, Rep.",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
KWT,Kuwait,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
LAO,Lao PDR,28156,Is this country on the FCV list?,Value,1,1,1,1,0,0,0,0,0,0,0,0,,,,1,
LBN,Lebanon,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
LBR,Liberia,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
LBY,Libya,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
LCA,St. Lucia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
LIE,Liechtenstein,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
LKA,Sri Lanka,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
LSO,Lesotho,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
LTU,Lithuania,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
LUX,Luxembourg,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
LVA,Latvia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MAC,"Macao SAR, China",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MAF,St. Martin (French part),28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MAR,Morocco,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MCO,Monaco,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MDA,Moldova,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MDG,Madagascar,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,1,1,1,1,,,,,
MDV,Maldives,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MEX,Mexico,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MHL,Marshall Islands,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
MKD,"Macedonia, FYR",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MLI,Mali,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
MLT,Malta,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MMR,Myanmar,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MNE,Montenegro,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MNG,Mongolia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MNP,Northern Mariana Islands,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MOZ,Mozambique,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,1
MRT,Mauritania,28156,Is this country on the FCV list?,Value,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
MUS,Mauritius,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
MWI,Malawi,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
MYS,Malaysia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
NAM,Namibia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
NCL,New Caledonia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
NER,Niger,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1
NGA,Nigeria,28156,Is this country on the FCV list?,Value,1,1,0,0,0,0,0,0,0,0,0,0,,,1,1,1
NIC,Nicaragua,28156,Is this country on the FCV list?,Value,0,0,0,0,,0,0,0,0,0,0,0,,,,,
NLD,Netherlands,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
NOR,Norway,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
NPL,Nepal,28156,Is this country on the FCV list?,Value,0,0,0,0,1,1,1,1,1,0,0,0,,,,,
NRU,Nauru,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
NZL,New Zealand,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
OMN,Oman,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
PAK,Pakistan,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
PAN,Panama,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
PER,Peru,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
PHL,Philippines,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
PLW,Palau,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
PNG,Papua New Guinea,28156,Is this country on the FCV list?,Value,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1
POL,Poland,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
PRI,Puerto Rico,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
PRK,"Korea, Dem. People’s Rep.",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
PRT,Portugal,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
PRY,Paraguay,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
PYF,French Polynesia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
QAT,Qatar,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ROU,Romania,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
RUS,Russian Federation,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
