country_year,country,year,electexec,electleg,electboth,v2xel_elecpres,v2xel_elecparl,AF.el_rating,PEI.el_rating,VDEM.el_rating,PEI.EMB_cap,VDEM.EMB_cap,PEI.protest,VDEM.turnout,VDEM.VAP_turnout,nelda17,nelda18,nelda11,nelda45,nelda46,nelda3,nelda4,nelda5,nelda29,nelda30,POLITY5.fragment,POLITY5.polity2,POLITY5.durable,POLITY5.parcomp,FH.fh_total,WB.GDP_ppc,WB.FDI,WB.inflation,WB.gini,WB.urban_pop,literacy_imputed,VDEM.yrs_education,press_freedom,VDEM.elec_viol,VDEM.international_monitors_present,VDEM.access_to_public_services_social_group,VDEM.access_to_public_services_pol_group,VDEM.regime_support_by_an_ethnic_group,VDEM.is_an_ethnic_group_the_most_powerful_regime_support_group,VDEM.is_an_ethnic_group_the_most_powerful_regime_duration_group,after_non_violent_number_of_events,after_non_violent_number_of_fatalities,after_violent_number_of_events,after_violent_number_of_fatalities,before_non_violent_number_of_events,before_non_violent_number_of_fatalities,before_violent_number_of_events,before_violent_number_of_fatalities,on_date_non_violent_number_of_events,on_date_non_violent_number_of_fatalities,on_date_violent_number_of_events,on_date_violent_number_of_fatalities,events_before,events_after,fatilities_before,fatilities_after,change_in_events,change_in_fatalities,change_in_violent_events,change_in_non_violent_events,change_in_violent_fatalities,change_in_non_violent_fatalities
Comoros-2004,Comoros,2004,No,Yes,No,0,1,NA,NA,2.7,NA,1.142,NA,NA,NA,0,0,0,1,1,1,1,1,0,NA,2,6,0,4,8,1177.29923901797,672560.378635016,4.47499289078105,55.9,27.903,49.1961402893066,NA,22,2.912,1,-0.761,0.046,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros-2006,Comoros,2006,Yes,No,No,1,0,NA,NA,2.856,NA,1.454,NA,57.26,52.14,0,0,0,1,1,1,1,1,0,NA,0,9,0,4,7,1184.82932671086,778420.213878796,3.37436360121208,NA,27.863,49.1961402893066,NA,28,3.573,1,-0.761,0.046,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros-2009,Comoros,2009,No,Yes,No,0,1,NA,NA,2.463,NA,1.452,NA,NA,NA,0,0,1,0,NA,1,0,1,0,NA,0,9,3,4,7,1192.67843428353,13839598.1677915,4.3623482932572,NA,27.921,49.1961402893066,NA,19,3.564,0,-0.761,0.046,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros-2010,Comoros,2010,NA,NA,NA,1,0,NA,NA,2.488,NA,1.452,NA,67.11,56.13,0,0,1,1,0,1,0,1,0,NA,0,9,4,4,7,1208.48076292287,8350406.72212085,3.35475770328918,NA,27.973,49.1961402893066,NA,NA,3.508,1,-0.57,0.046,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros-2015,Comoros,2015,NA,NA,NA,0,1,NA,6.2,1.256,61.25,1.814,58.8125,71.35,49.41,0,0,0,1,1,1,1,1,0,NA,0,9,9,4,7,1242.58560784999,4936699.51044482,NA,NA,28.47,58.8170204162598,NA,24.33,2.989,0,-0.57,0.046,0.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros-2016,Comoros,2016,NA,NA,NA,1,0,NA,4.5,1.543,31.25,1.814,31.25,74.42,48.3,0,0,1,1,1,1,1,1,1,1,0,9,10,4,7,1254.54003983978,3569823.72997207,NA,NA,28.619,58.8170204162598,NA,NA,2.989,1,-0.57,0.046,0.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros-2019,Comoros,2019,NA,NA,NA,1,0,NA,NA,0.479,NA,1.392,NA,53.84,36.14,0,0,1,1,0,1,1,1,1,1,NA,NA,NA,NA,8,1284.28651891376,4300803.96632158,NA,NA,29.164,58.8170204162598,NA,27.91,2.242,1,-0.57,0.046,0.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros-2020,Comoros,2020,NA,NA,NA,0,1,NA,NA,0.479,NA,1.392,NA,62.8,41.27,NA,NA,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,9,1255.04394784079,3873524.39159791,NA,NA,29.38,58.8170204162598,NA,29.77,1.37,1,-0.501,0.046,0.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire-2000,Cote d'Ivoire,2000,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,1,1,1,1,NA,NA,NA,NA,11,1847.86996963696,234701731.5,2.53077516737993,NA,43.155,48.7407608032227,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,0,75,247,24,0,83,277,12,0,2,0,107,111,277,247,0.03738317757009346,-0.10830324909747291,-0.09638554216867468,0.5,-0.10830324909747291,NA
Cote d'Ivoire-2001,Cote d'Ivoire,2001,NA,NA,NA,0,1,NA,NA,1.765,NA,1.962,NA,NA,NA,1,0,1,0,0,1,1,1,0,NA,NA,NA,NA,NA,9,1765.32806149226,272679898.3,4.36152914007253,NA,43.568,40.9816284179688,3.276,19,1.084,0,1.167,1.653,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
